"Exped" "Date" "mean lat" "mean long" "beta_slope" "inf CI" "sup CI" "String Number"
"Chagos 2015" "2015-01-22" -6.46133112612613 73.3765888288288 -1.17541053423555 -1.21315053423555 -1.13902053423555 4
"Chagos 2015" "2015-01-13" -5.52653184177215 71.9862300063291 -1.10795039142565 -1.12052039142565 -1.09549039142565 4
"Chagos 2015" "2015-01-23" -6.46079154121864 73.3628193189964 -1.1802088813024 -1.2110788813024 -1.15048888130241 4
"Chagos 2015" "2015-01-12" -5.53148550474066 71.9827730842164 -1.04864092611812 -1.05839092611812 -1.03893092611812 4
"Chagos 2015" "2015-01-17" -6.58659375690608 71.2929282320442 -1.09958375424488 -1.13546375424488 -1.06458375424488 4
"Chagos 2015" "2015-01-14" -5.42277158067158 72.3552204176904 -0.976611732044428 -0.991431732044428 -0.961761732044428 4
"Chagos 2015" "2015-01-18" -6.610247 71.355389 -0.475947225208535 -0.934187225208535 0.0103227747914655 1
"Chagos 2015" "2015-01-15" -5.42988164749082 72.3604935520196 -0.947400622371966 -0.955480622371966 -0.939290622371966 4
"Chagos 2015" "2015-01-21" -6.38334753022453 73.3047455267703 -0.976114651901795 -0.994874651901795 -0.957294651901795 4
"Chagos 2015" "2015-01-10" -7.13574042553191 72.1104834042553 -0.753424166895173 -0.841194166895173 -0.655944166895173 3
"Chagos 2015" "2015-01-11" -7.15989824104235 72.1313163517915 -0.941144127822077 -0.965314127822077 -0.916674127822077 4
